,,,GDTC2021_여우의모험,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,종류,발견날짜,발견버전,진행상태,수정완료일,적용버전,비고,,,,,,,,,,,,,,,,,
,1,시스템,2021-08-09,0.00.00,수정요청,2021-08-09,0.00.01,발생현상,모바일컨트롤러 공격입력 함수가 이전버전임.,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,레이저건을 추가하면서 총에서 처리하도록 시스템이 변경됨.,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,,,,,,,,,,,,,,,,,
,2,시스템,2021-08-10,0.00.01,테스트요청,2021-08-11,0.00.02,발생현상,,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,인벤토리시스템 추가 및 인벤토리 연동완료,,,,,,,,,,,,,,,,
,3,건의사항,2021-08-11,0.00.02,보류중,,,발생현상,아이템사용시 인벤토리 전체에 버튼이 갱신됨,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,비효률적인 자원 활용,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,버튼을 사용시에 삭제하도록 변경하기,,,,,,,,,,,,,,,,
,4,오류,2021-08-11,0.00.02,테스트요청,2021-08-11,0.00.03,발생현상,불릿을 이용한 공격시 총알이 보이지않는 현상,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,이미지 프리팹 생성시 복사할때 실수로 파일이삭제되어 발생함.,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,불릿이 스프라이트에 삭제되어 프리팹에 문제가 발생함.,,,,,,,,,,,,,,,,
,5,오류,2021-08-09,0.00.00,테스트요청,2021-08-11,0.00.03,발생현상,이동시 미끄러지는 듯한 느낌이 듬.,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,무브함수 생성후 발생(모바일컨트롤러추가 이후),,,,,,,,,,,,,,,,
,,,,,,,,해결방안,컨트롤러를 게임관리자에서 관리하도록 변경,,,,,,,,,,,,,,,,
,6,오류,2021-08-11,0.00.02,테스트요청,2021-08-11,0.00.03,발생현상,사다리에서 다단점프가능,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,사다리가 그라운드로 레이어 설정됨.,,,,,,,,,,,,,,,,
,7,오류,2021-08-11,0.00.00,수정중,2021-08-11,0.00.03,발생현상,레이저건 사용시 문제점발생 ,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,충돌검사시 라인렌더러위치 변환에 값을 잘못넣음.,,,,,,,,,,,,,,,,
,8,오류,2021-08-11,0.00.02,테스트요청,2021-08-11,0.00.03,발생현상,독수리 부활시에 문제점 콜라이더 범위이상,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,프리펩에 콜라이더 범위 수정하기,,,,,,,,,,,,,,,,
,9,시스템,2021-08-11,0.00.02,테스트요청,2021-08-11,0.00.03,발생현상,모바일컨트롤러 관련 시스템 변경. 모바일컨트롤러와 pc컨트롤러 동시에 사용불가능함.,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,키보드입력시에도 모바일컨드롤러 작동,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,옵션에서 조작을 선택하거나 플랫폼에 따라 변경가능하도록 해야함.,,,,,,,,,,,,,,,,
,10,시스템,2021-08-12,0.00.03,완료,2021-08-12,0.00.04,발생현상,,,,,,,,,,,,,,,,,
,,,,,,,,추정원인,,,,,,,,,,,,,,,,,
,,,,,,,,해결방안,GUI관리자 분리,,,,,,,,,,,,,,,,
,11,버그,,,완료,,,발생현상,,,,,,,,,,,,,,,,,
